codec,codec_name,representation,eval_domain,dataset_short,group_label,model_short,activation_short,training_mode,lmbda,num_runs,num_seed_values,rate_mean,rate_std,rate_min,rate_max,quality_mean,quality_std,quality_min,quality_max,psnr_amp_mean,psnr_amp_std,ssim_amp_mean,ssim_amp_std,encoding_time_mean_s,decoding_time_mean_s,resolved_rate_metric,resolved_quality_metric,curve_source,complex_corr_mean_mean,complex_corr_mean_std,phase_err_mean_mean,phase_err_mean_std
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,5,2000,,0.2089381612141927,0.011317347377862948,0.19428507486979166,0.268463134765625,20.35565488243103,6.357648946986561,4.874696254730225,42.1968879699707,20.35565488243103,6.357648946986561,0.03270469527693058,0.02015112776143839,0.002903229983523488,0.0018217880554730072,bpp,psnr_amp,classical_codec,0.36540074052050475,0.3646185255506902,0.5930598953664303,0.40730809670242735
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,10,2000,,0.4029215596516927,0.16262928600631277,0.194610595703125,0.7433878580729166,18.701605630397797,7.493925468711363,7.284605026245117,41.996360778808594,18.701605630397797,7.493925468711363,0.023203498388516892,0.03691614959765983,0.0032890908730914816,0.0024734191198367626,bpp,psnr_amp,classical_codec,0.3615155778078479,0.2937916923532699,0.6096412963569164,0.3586258308880151
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,20,2000,,1.0026071929931641,0.4682926188991382,0.197509765625,1.6022237141927083,16.318398021936417,7.674797026409037,7.061712741851807,39.80606460571289,16.318398021936417,7.674797026409037,0.024783026128017808,0.06341286099066462,0.0038367688219295816,0.003660091903526336,bpp,psnr_amp,classical_codec,0.3459324710434303,0.20593127286042903,0.6509859774410724,0.27608448324223883
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,30,2000,,1.6257371775309246,0.7021624402901951,0.20088704427083334,2.3959452311197915,14.386785006284713,7.777687096430951,4.7174506187438965,36.663185119628906,14.386785006284713,7.777687096430951,0.030745269208724495,0.07143388804757222,0.004322768068755977,0.004778091777930968,bpp,psnr_amp,classical_codec,0.3505977153950371,0.1664791997218725,0.6740379584729671,0.22363457444844556
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,40,2000,,2.192080759684245,0.8899537726695745,0.21708170572916666,3.1298624674479165,13.129873587846756,7.793216317179681,3.7439374923706055,36.057334899902344,13.129873587846756,7.793216317179681,0.03596952353668166,0.07345916231957092,0.004727620467660018,0.005744648589636199,bpp,psnr_amp,classical_codec,0.36600633459840903,0.1550252585068771,0.683879078656435,0.19464120778010036
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,50,2000,,2.7022982279459637,1.0266137286095975,0.21778361002604166,3.7567240397135415,12.392133737444878,7.6966967263444905,3.412990093231201,36.08966064453125,12.392133737444878,7.6966967263444905,0.04081713693556958,0.07446526878647795,0.005084532720269636,0.006545586013467983,bpp,psnr_amp,classical_codec,0.37938920057192443,0.15151803014665102,0.6925564597249031,0.17360703813449402
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,60,2000,,3.235322235107422,1.1430100991694236,0.229583740234375,4.382670084635417,11.89511776804924,7.4741808733745225,3.3283069133758545,35.93449020385742,11.89511776804924,7.4741808733745225,0.04553231096129457,0.07567356817296361,0.0054554485497064886,0.007308813513140194,bpp,psnr_amp,classical_codec,0.3943939578109421,0.15217187967508156,0.6981833709776402,0.16008993971898627
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,70,2000,,3.9772559000651047,1.2648048388134745,0.2732442220052083,5.209696451822917,11.572545168757438,7.108883183323971,3.343344211578369,35.99552536010742,11.572545168757438,7.108883183323971,0.051766112088997035,0.07893573032223122,0.005975378324044868,0.00833240004919935,bpp,psnr_amp,classical_codec,0.4130187326436862,0.15600858551869434,0.7018952782154083,0.15268250125984206
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,80,2000,,5.039231150309244,1.3855631384819416,0.3121439615885417,6.337198893229167,11.485228532910346,6.700481848141885,3.606874942779541,36.112361907958984,11.485228532910346,6.700481848141885,0.05982086638268083,0.08753572073357124,0.006733674461371265,0.009836675772559828,bpp,psnr_amp,classical_codec,0.4344000970218331,0.16171901985580428,0.7014355275630951,0.15194659107773592
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,90,2000,,7.021241872151692,1.5111611546116162,0.7184651692708334,8.407368977864584,11.62839597249031,6.487273475086848,3.4892001152038574,35.935035705566406,11.62839597249031,6.487273475086848,0.0693431888355044,0.10822461653412555,0.008025347954244352,0.012306688220938668,bpp,psnr_amp,classical_codec,0.4574592004325241,0.17102537794088085,0.6911035064160824,0.16189015481747582
jpeg,JPEG,channels,slc,MAYA4,"JPEG (2xGray, eval=slc)",JPEG,2xGray,slc,95,2000,,9.313751302083332,1.720864185412417,1.738861083984375,10.944447835286459,11.75955028963089,6.519841247200291,3.8149423599243164,35.778202056884766,11.75955028963089,6.519841247200291,0.07387170407245867,0.12298592847023952,0.009056729747680948,0.014269075749907642,bpp,psnr_amp,classical_codec,0.46699075678829105,0.1760507349886513,0.6821340138018132,0.16978835354819324
