codec,codec_name,representation,eval_domain,dataset_short,group_label,model_short,activation_short,training_mode,lmbda,num_runs,num_seed_values,rate_mean,rate_std,rate_min,rate_max,quality_mean,quality_std,quality_min,quality_max,psnr_amp_mean,psnr_amp_std,ssim_amp_mean,ssim_amp_std,encoding_time_mean_s,decoding_time_mean_s,resolved_rate_metric,resolved_quality_metric,curve_source,complex_corr_mean_mean,complex_corr_mean_std,phase_err_mean_mean,phase_err_mean_std
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,5,32,,0.5141747792561848,0.3597765066342553,0.043436686197916664,1.2465616861979167,21.36107164621353,7.430906838545974,8.085881233215332,33.813255310058594,21.36107164621353,7.430906838545974,0.03720261144917458,0.0999526412722534,0.17985959573707078,0.013272483432956506,bpp,psnr_amp,classical_codec,0.4859669404104352,0.1739577235166002,0.44861746579408646,0.17602417024272551
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,10,32,,0.8201446533203125,0.5178594426759062,0.051717122395833336,1.7434895833333333,20.011610850691795,7.297524114734604,7.378575801849365,32.944637298583984,20.011610850691795,7.297524114734604,0.0438238940841984,0.10550675553089005,0.19312346196966246,0.016032838066166732,bpp,psnr_amp,classical_codec,0.4557515148771927,0.191267488339759,0.5097890496253967,0.17299523915411574
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,20,32,,1.3478158315022788,0.7134863809287832,0.07753499348958333,2.6209920247395835,18.68856707215309,6.836515014460242,7.018779754638672,31.829769134521484,18.68856707215309,6.836515014460242,0.052505004091472074,0.11244815255556923,0.21470745959231863,0.02044140351790702,bpp,psnr_amp,classical_codec,0.45461129141040146,0.20194939304013731,0.5675297137349844,0.15686481253436838
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,30,32,,1.8477884928385417,0.8792099142747544,0.14396158854166666,3.3700764973958335,18.08063432574272,6.41322816986206,7.070012092590332,30.69242286682129,18.08063432574272,6.41322816986206,0.05876754188648192,0.11897910804398035,0.2300738720150548,0.024513921729521826,bpp,psnr_amp,classical_codec,0.4707586067961529,0.20738562926137452,0.5862131677567959,0.15370694165053644
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,40,32,,2.257680257161458,0.971195140721377,0.23164876302083334,3.8898722330729165,17.81816640496254,6.220547200989476,7.069550514221191,30.037954330444336,17.81816640496254,6.220547200989476,0.06306721094733803,0.1263215063377965,0.24189866417873418,0.02770241748658009,bpp,psnr_amp,classical_codec,0.48572918387071695,0.2090677810697163,0.5895086508244276,0.15408066881511884
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,50,32,,2.6356544494628906,1.018226838937959,0.34991455078125,4.207763671875,17.701440379023552,6.033497464635028,7.11484956741333,29.403135299682617,17.701440379023552,6.033497464635028,0.06695406664402981,0.1334875806010196,0.2521212064893916,0.030710610270034522,bpp,psnr_amp,classical_codec,0.49647768429713324,0.20892253013401887,0.5913754031062126,0.15174815510024117
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,60,32,,3.02598508199056,1.0703586871615542,0.527587890625,4.624593098958333,17.6621163636446,5.953140731274896,7.150878429412842,29.178264617919922,17.6621163636446,5.953140731274896,0.06984620392995566,0.1408460119061373,0.26079422017210163,0.03375429139123298,bpp,psnr_amp,classical_codec,0.5038586203590967,0.2100387489665628,0.592247748747468,0.15251490593567252
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,70,32,,3.431659698486328,1.095729550610587,0.7752482096354166,5.042154947916667,17.65624962747097,5.913745355483367,7.128266334533691,29.130075454711914,17.65624962747097,5.913745355483367,0.07352759341847559,0.1482716820552721,0.2694611025872291,0.03691099960269639,bpp,psnr_amp,classical_codec,0.5130550232715905,0.21093222302308318,0.5883247647434473,0.1560639239362802
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,80,32,,4.334459940592447,1.126523753998821,1.3404134114583333,5.90765380859375,17.657363444566727,5.877937492082099,7.129234313964844,29.126895904541016,17.657363444566727,5.877937492082099,0.0787939252477372,0.16253685350743585,0.28604997970251134,0.043901069308049046,bpp,psnr_amp,classical_codec,0.5277630088385195,0.21273875359053235,0.5771568790078163,0.16057473157344346
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,90,32,,6.212813059488932,1.1058200553398896,3.26629638671875,7.794942220052083,17.723472252488136,5.8944214928832945,7.148996353149414,29.42259979248047,17.723472252488136,5.8944214928832945,0.08490176690247608,0.17971391825855965,0.31715934586827643,0.05805429991596611,bpp,psnr_amp,classical_codec,0.5420122080249712,0.21504044826488714,0.5628943424671888,0.1654280370334602
webp,WebP,channels,slc,MAYA4,"WebP (2xGray, eval=slc)",WebP,2xGray,slc,95,32,,7.643084208170572,1.1015815317977042,4.610921223958333,9.254353841145834,17.64233848452568,5.878865740359271,7.092548370361328,29.31165313720703,17.64233848452568,5.878865740359271,0.08588117168619647,0.18223590568138281,0.3399738815933233,0.06965912842133548,bpp,psnr_amp,classical_codec,0.5452885355334729,0.21464448180626391,0.5615367311984301,0.16665525548581547
