model_short,activation_short,dataset_short,training_mode,non_square_kernels,group_label,lmbda,num_runs,num_seed_values,rate_mean,rate_std,rate_min,rate_max,quality_mean,quality_std,quality_min,quality_max
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,1.0,3,3,0.012738065173228582,0.00041916967720692096,0.012218078598380089,0.013244564644992352,0.06013255938887596,0.00416915261137001,0.05424023047089577,0.06326064467430115
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,1000.0,3,3,3.345391035079956,0.03738714534886517,3.2989470958709717,3.3904972076416016,0.7580607136090597,0.006210154793463778,0.7492991089820862,0.7629656791687012
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,1.0,3,3,0.011658489393691221,0.00012492216413211455,0.011482044123113155,0.011754368431866167,0.059726340075333915,0.003922330275475299,0.05461660027503967,0.06415068358182907
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,3.0,3,3,0.03745591640472412,0.00024211623014222576,0.03724808990955353,0.03779549151659012,0.09597740073998769,0.0028890785532780473,0.09198114275932312,0.09871214628219604
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,5.0,3,3,0.059050640712181725,0.0014851531581055808,0.05776556953787803,0.06113191321492195,0.1177776629726092,0.0009377529697964097,0.11659251898527144,0.11888564378023148
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,7.0,3,3,0.09493767966826756,0.004716994657487709,0.08969886600971222,0.1011335626244545,0.1389524241288503,0.00916483758648042,0.12998385727405548,0.1515401005744934
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,8.0,3,3,0.1083608865737915,0.013099205958135676,0.0919591337442398,0.12401968985795976,0.1314819132288297,0.018001265766396064,0.1162308007478714,0.15676026046276093
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,10.0,3,3,0.15972796579202017,0.016181475627814624,0.13716959953308103,0.17433886229991913,0.1635276849071185,0.029820323769693714,0.1215176358819008,0.18773339688777924
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,15.0,3,3,0.33153827985127765,0.013529186098214806,0.31594109535217285,0.34893396496772766,0.2446360339721044,0.008207193055645637,0.2330401986837387,0.2508692443370819
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,20.0,3,3,0.6787354350090027,0.01906075285927405,0.6616910696029663,0.7053431272506714,0.45150116086006165,0.007958645182047173,0.4417230486869812,0.4612173736095429
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,35.0,3,3,1.246736963589986,0.03654287474980055,1.2062439918518066,1.2947919368743896,0.5246539314587911,0.007369206304581274,0.5191720128059387,0.5350707769393921
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,50.0,3,3,1.736720045407613,0.018581339516755734,1.7178256511688232,1.7619833946228027,0.5594033797581991,0.002613658209220726,0.5558101534843445,0.5619505643844604
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,100.0,3,3,2.277925411860148,0.02656577621172681,2.2473788261413574,2.312140464782715,0.5805256764094034,0.008961556329037319,0.5722748041152954,0.5929821729660034
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,1000.0,3,3,2.9988273779551187,0.016634145485884492,2.975303649902344,3.0107228755950928,0.6023419698079427,0.0076411710616036185,0.5918900966644287,0.6099448800086975
